state,regime,x,y,z
s0,TRANSITION,1.0,1.0,1.0
s20,ESCAPE,16.700558375667814,27.183834547115204,26.264060022399846
s40,TRANSITION,-4.842887060486314,-8.060794804598933,26.663549340493006
s60,LEFT_ATTRACTOR,-9.694281729243393,-10.153053685874161,28.04099957460748
s80,LEFT_ATTRACTOR,-7.171076938894159,-6.788091054958225,25.963635549447613
s100,LEFT_ATTRACTOR,-9.677986070369277,-10.42754566449178,27.538070612123427
s120,LEFT_ATTRACTOR,-7.193180327182157,-6.5408837536255255,26.355007299266845
s140,LEFT_ATTRACTOR,-9.552326598197403,-10.628191562873942,26.936796063384993
s160,LEFT_ATTRACTOR,-7.277784684279375,-6.334585937783129,26.834609896209983
s180,LEFT_ATTRACTOR,-9.340042590961174,-10.711136661165717,26.240904927789128
s200,LEFT_ATTRACTOR,-7.437786014776905,-6.188176030427529,27.401242220818848
s220,LEFT_ATTRACTOR,-9.039524354286405,-10.64684895035093,25.48549227940653
s240,LEFT_ATTRACTOR,-7.685879422120797,-6.1272955717253685,28.049144429742903
s260,LEFT_ATTRACTOR,-8.655770052380618,-10.414909539646695,24.718737810149516
s280,LEFT_ATTRACTOR,-8.033595462861015,-6.186597512232718,28.764012154347622
s300,LEFT_ATTRACTOR,-8.201010541133979,-10.00809370200387,23.998827059688104
s320,LEFT_ATTRACTOR,-8.487977891157225,-6.412236224934708,29.516202386525578
s340,LEFT_ATTRACTOR,-7.694671067677814,-9.434564562591984,23.38929702922395
s360,LEFT_ATTRACTOR,-9.045294815202487,-6.862285772975881,30.249203985152832
s380,LEFT_ATTRACTOR,-7.162865957648417,-8.717454552689535,22.953989584436833
s400,LEFT_ATTRACTOR,-9.680344765163776,-7.600081429516776,30.861967769179998
s420,LEFT_ATTRACTOR,-6.637948604056364,-7.89190984969607,22.75310183748792
s440,LEFT_ATTRACTOR,-10.330836631555174,-8.670480286344866,31.187402542058035
s460,LEFT_ATTRACTOR,-6.159003795753266,-7.000551677279459,22.841662770798244
s480,LEFT_ATTRACTOR,-10.880365118810559,-10.04513042411903,30.981641469442224
s500,LEFT_ATTRACTOR,-5.774663059135879,-6.089189987057135,23.271269344589307
s520,LEFT_ATTRACTOR,-11.153108455091669,-11.534153970175417,29.96325630946676
s540,LEFT_ATTRACTOR,-5.550346371783854,-5.205840530545058,24.09527630112582
s560,LEFT_ATTRACTOR,-10.945378640899847,-12.714532595928622,27.957728539880986
s580,LEFT_ATTRACTOR,-5.5831329489686485,-4.409638520329966,25.37684272960531
s600,LEFT_ATTRACTOR,-10.113445503136896,-13.00849071664215,25.13605012849198
s620,LEFT_ATTRACTOR,-6.027377336221491,-3.8076927861790115,27.19593055281724
s640,LEFT_ATTRACTOR,-8.685631279142124,-12.005736657139733,22.148890448803076
s660,LEFT_ATTRACTOR,-7.122578751195712,-3.6724348500685418,29.630049761525385
s680,LEFT_ATTRACTOR,-6.9025590069143945,-9.816557897155121,19.90219624820485
s700,LEFT_ATTRACTOR,-9.138636976770163,-4.757307089015533,32.554184195464664
s720,LEFT_ATTRACTOR,-5.1300142182687445,-7.04194330195401,19.109933798308514
s740,LEFT_ATTRACTOR,-11.838434501343531,-8.656077620992207,34.532136625734026
s760,TRANSITION,-3.747144923319831,-4.345697380810361,20.12239121211789
s780,LEFT_ATTRACTOR,-12.842665143973557,-14.957355599185162,30.323325033595953
s800,TRANSITION,-3.2662746231766797,-2.06071450115641,23.261091895077623
s820,LEFT_ATTRACTOR,-8.793431899650242,-13.815180229511418,18.921073481982457
s840,LEFT_ATTRACTOR,-5.448532661861426,-0.534208839646298,29.746880799924657
s860,TRANSITION,-3.049128830777129,-4.899784429250748,14.449842144795126
s880,LEFT_ATTRACTOR,-14.716660173093148,-12.315516476359576,37.65237726761468
s900,TRANSITION,-0.3127253089195413,0.6416731804307095,19.920595974129775
s920,TRANSITION,1.5238235577689163,2.8451430735454544,9.163441766919465
s940,RIGHT_ATTRACTOR,16.805981505885494,20.23774126749271,35.24120947509641
