step,lambda,risk,slope,d2c,distance,steer,state,action
0,0.515,9.16600371985333e-06,0.0,0.0,1.1599912922964664,0.0,NEXIT,MONITOR
1,0.53,1.0334628258274473e-05,0.0,0.0,1.1581901821031548,0.0,NEXIT,MONITOR
2,0.545,1.165224547006964e-05,1.3176172117951663e-06,1.4899267337402325e-07,1.1563889303668036,0.0,NEXIT,MONITOR
3,0.56,1.3137850563419437e-05,1.485605093349797e-06,1.6798788155463072e-07,1.1545875190419648,0.0,NEXIT,MONITOR
4,0.5750000000000001,1.4812860334722392e-05,1.675009771302955e-06,1.8940467795315788e-07,1.152785927782682,0.0,NEXIT,MONITOR
5,0.5900000000000001,1.670142184809518e-05,1.888561513372789e-06,2.1355174206983408e-07,1.1509841336492443,0.0,NEXIT,MONITOR
6,0.6050000000000001,1.8830760452806073e-05,2.1293386047108927e-06,2.407770913381037e-07,1.14918211077757,0.0,NEXIT,MONITOR
7,0.6200000000000001,2.1231572149295275e-05,2.4008116964892014e-06,2.714730917783087e-07,1.1473798300064582,0.0,NEXIT,MONITOR
8,0.6350000000000001,2.393846595197441e-05,2.7068938026791345e-06,3.060821061899332e-07,1.1455772584573458,0.0,NEXIT,MONITOR
9,0.6500000000000001,2.6990462615465965e-05,3.051996663491556e-06,3.451028608124216e-07,1.1437743590605154,0.0,NEXIT,MONITOR
10,0.6650000000000001,3.043155690056538e-05,3.441094285099415e-06,3.8909762160785875e-07,1.1419710900209445,0.0,NEXIT,MONITOR
11,0.6800000000000002,3.431135146848336e-05,3.879794567917983e-06,4.387002828185681e-07,1.140167404216105,0.0,NEXIT,MONITOR
12,0.6950000000000002,3.868577151978675e-05,4.374420051303388e-06,4.946254833854048e-07,1.1383632485170563,0.0,NEXIT,MONITOR
13,0.7100000000000002,4.361787045244249e-05,4.932098932655741e-06,5.576788813523535e-07,1.1365585630230703,0.0,NEXIT,MONITOR
14,0.7250000000000002,4.917873811782152e-05,5.560867665379026e-06,6.287687327232851e-07,1.134753280198788,0.0,NEXIT,MONITOR
15,0.7400000000000002,5.544852472279511e-05,6.269786604973591e-06,7.089189395945649e-07,1.1329473239015133,0.0,NEXIT,MONITOR
16,0.7550000000000002,6.251759508076354e-05,7.06907035796843e-06,7.99283752994839e-07,1.1311406082846733,0.0,NEXIT,MONITOR
17,0.7700000000000002,7.048782977772531e-05,7.970234696961769e-06,9.011643389933384e-07,1.1293330365617111,0.0,NEXIT,MONITOR
18,0.7850000000000003,7.947409191726214e-05,8.986262139536828e-06,1.0160274425750595e-06,1.1275244996126788,0.0,NEXIT,MONITOR
19,0.8000000000000003,8.96058804696515e-05,1.0131788552389363e-05,1.1455264128525344e-06,1.125714874413554,0.0,NEXIT,MONITOR
20,0.8150000000000003,0.00010102919390777308,1.1423313438121583e-05,1.2915248857322208e-06,1.1239040222657877,0.0,NEXIT,MONITOR
21,0.8300000000000003,0.00011390863080246211,1.287943689468903e-05,1.4561234565674459e-06,1.1220917868007378,0.0,NEXIT,MONITOR
22,0.8450000000000003,0.00012842975741318051,1.4521126610718402e-05,1.6416897160293728e-06,1.1202779917304575,0.0,NEXIT,MONITOR
23,0.8600000000000003,0.00014480177609175037,1.6372018678569852e-05,1.8508920678514499e-06,1.1184624383127129,0.0,NEXIT,MONITOR
24,0.8750000000000003,0.0001632605325680572,1.845875647630684e-05,2.0867377977369878e-06,1.1166449024940603,0.0,NEXIT,MONITOR
25,0.8900000000000003,0.00018407190496342433,2.081137239536712e-05,2.3526159190602816e-06,1.1148251316902846,0.0,NEXIT,MONITOR
26,0.9050000000000004,0.0002075356227423817,2.346371777895738e-05,2.652345383590259e-06,1.1130028411583948,0.0,NEXIT,MONITOR
27,0.9200000000000004,0.00023398956983617752,2.6453947093795817e-05,2.9902293148384364e-06,1.1111777099086555,0.0,NEXIT,MONITOR
28,0.9350000000000004,0.0002638146329283134,2.982506309213588e-05,3.371115998340062e-06,1.1093493760987183,0.0,NEXIT,MONITOR
29,0.9500000000000004,0.00029744016346818365,3.3625530539870246e-05,3.800467447734367e-06,1.1075174318447054,0.0,NEXIT,MONITOR
30,0.9650000000000004,0.0003353501304664793,3.790996699829565e-05,4.284436458425406e-06,1.105681417376057,0.0,NEXIT,MONITOR
31,0.9800000000000004,0.0003780900506270394,4.273992016056008e-05,4.8299531622644255e-06,1.1038408144519043,0.0,NEXIT,MONITOR
32,0.9950000000000004,0.0004262747929950022,4.8184742367962836e-05,5.444822207402759e-06,1.1019950389466548,0.0,NEXIT,MONITOR
33,1.0100000000000005,0.0004805973671702626,5.432257417526038e-05,6.137831807297546e-06,1.1001434325011883,0.0,NEXIT,MONITOR
34,1.0250000000000004,0.0005418388173772716,6.124145020700895e-05,6.91887603174857e-06,1.0982852531234917,0.0,NEXIT,MONITOR
35,1.0400000000000003,0.0006108793594344032,6.904054205713163e-05,7.79909185012268e-06,1.0964196646085373,0.0,NEXIT,MONITOR
36,1.0550000000000002,0.000688710914073258,7.78315546388548e-05,8.79101258172317e-06,1.0945457246316304,0.0,NEXIT,MONITOR
37,1.07,0.0007764512082708448,8.774029419758686e-05,9.908739558732059e-06,1.0926623713521428,0.0,NEXIT,MONITOR
38,1.085,0.0008753596364292381,9.890842815839327e-05,1.1168133960806409e-05,1.0907684083453923,0.0,NEXIT,MONITOR
39,1.0999999999999999,0.000986855095520908,0.00011149545909166993,1.2587030933276658e-05,1.0888624876592552,0.0,NEXIT,MONITOR
40,1.1149999999999998,0.0011125360328603205,0.00012568093733941244,1.4185478247742515e-05,1.0869430907687827,0.0,NEXIT,MONITOR
41,1.1299999999999997,0.0012542029720968857,0.00014166693923656519,1.5986001897152742e-05,1.085008507176508,0.0,NEXIT,MONITOR
42,1.1449999999999996,0.001413883812460646,0.00015968084036376029,1.80139011271951e-05,1.0830568103781624,0.0,NEXIT,MONITOR
43,1.1599999999999995,0.0015938622283030047,0.00017997841584235872,2.0297575478598435e-05,1.0810858308831124,0.0,NEXIT,MONITOR
44,1.1749999999999994,0.0017967095305784374,0.0002028473022754327,2.286888643307397e-05,1.0790931259459506,0.0,NEXIT,MONITOR
45,1.1899999999999993,0.0020253203890498728,0.0002286108584714354,2.576355619600271e-05,1.0770759456304029,0.0,NEXIT,MONITOR
46,1.2049999999999992,0.0022829528535030495,0.0002576324644531767,2.90216059817413e-05,1.0750311947891722,0.0,NEXIT,MONITOR
47,1.219999999999999,0.0025732731538103525,0.00029032030030730306,3.268783585412636e-05,1.0729553905038802,0.0,NEXIT,MONITOR
48,1.234999999999999,0.00290040580178418,0.0003271326479738273,3.681234766652426e-05,1.070844614488305,0.0,NEXIT,MONITOR
49,1.249999999999999,0.0032689895616385936,0.0003685837598544138,4.145111188058647e-05,1.0686944599164436,0.0,NEXIT,MONITOR
50,1.2649999999999988,0.0036842398994359564,0.0004152503377973628,4.6666577942949036e-05,1.0664999720955362,0.0,NEXIT,MONITOR
51,1.2799999999999987,0.004152018563600606,0.00046777866416464935,5.252832636728653e-05,1.0642555823645796,0.0,NEXIT,MONITOR
52,1.2949999999999986,0.004678910986350656,0.0005268924227500504,5.911375858540105e-05,1.0619550345629671,0.0,NEXIT,MONITOR
53,1.3099999999999985,0.005272312226948618,0.000593401240597962,6.650881784791163e-05,1.059591303384399,0.0,NEXIT,MONITOR
54,1.3249999999999984,0.005940522198340302,0.0006682099713916836,7.480873079372154e-05,1.057156503911577,0.0,NEXIT,MONITOR
55,1.3399999999999983,0.006692850924284773,0.0007523287259444712,8.411875455278765e-05,1.05464179162193,0.0,NEXIT,MONITOR
56,1.3549999999999982,0.007539734558373294,0.0008468836340885209,9.455490814404971e-05,1.0520372521695458,0.0,NEXIT,MONITOR
57,1.369999999999998,0.008492862851644235,0.0009531282932709407,0.00010624465918241972,1.0493317802909383,0.0,NEXIT,MONITOR
58,1.384999999999998,0.009565318672091531,0.0010724558204472968,0.00011932752717635619,1.0465129472615133,0.0,NEXIT,MONITOR
59,1.399999999999998,0.010771730045141455,0.0012064113730499235,0.0001339555526026267,1.0435668564571159,0.0,NEXIT,MONITOR
60,1.4149999999999978,0.012128434984274045,0.0013567049391325896,0.0001502935660826661,1.0404779867649399,0.0,NEXIT,MONITOR
61,1.4299999999999977,0.013653659097350659,0.0015252241130766144,0.00016851917394402477,1.0372290238575173,0.0,NEXIT,MONITOR
62,1.4449999999999976,0.01536770556527528,0.0017140464679246212,0.00018882235484800683,1.0338006797129888,0.0,NEXIT,MONITOR
63,1.4599999999999975,0.01729315656990511,0.0019254510046298294,0.00021140453670520816,1.0301715012585906,0.0,NEXIT,MONITOR
64,1.4749999999999974,0.01945508456819266,0.002161927998287551,0.00023647699365772143,1.0263176696602174,0.0,NEXIT,MONITOR
65,1.4899999999999973,0.02188127093613004,0.002426186367937379,0.00026425836964982796,1.0222127926106768,0.0,NEXIT,MONITOR
66,1.5049999999999972,0.024602428402738935,0.0027211574666088957,0.0002949710986715169,1.0178276930173984,0.0,NEXIT,MONITOR
67,1.5199999999999971,0.027652422322822553,0.0030499939200836178,0.00032883645347472207,1.013130198793319,0.0,NEXIT,MONITOR
68,1.534999999999997,0.031068484159666725,0.003416061836844172,0.00036606791676055406,1.0080849400483172,0.0,NEXIT,MONITOR
69,1.549999999999997,0.03489140853173605,0.003822924372069325,0.0004068625352251533,1.0026531618948513,0.0,NEXIT,MONITOR
70,1.5649999999999968,0.03916572279676345,0.004274314265027397,0.000451389892958072,0.9967925633430752,0.0,NEXIT,MONITOR
71,1.5799999999999967,0.04393981539614028,0.0047740925993768335,0.0004997783343494364,0.9904571753736673,0.0,NEXIT,MONITOR
72,1.5949999999999966,0.04926600608402545,0.005326190687885167,0.0005520980885083335,0.9835972942201763,0.0,NEXIT,MONITOR
73,1.6099999999999965,0.055200537782932914,0.0059345316989074665,0.0006083410110222995,0.9761594891062143,0.0,NEXIT,MONITOR
74,1.6249999999999964,0.061803466263586994,0.00660292848065408,0.0006683967817466135,0.9680867070495928,0.0,NEXIT,MONITOR
75,1.6399999999999963,0.06913842034334501,0.007334954079758017,0.0007320255991039373,0.9593185006738227,0.0,NEXIT,MONITOR
76,1.6549999999999963,0.07727220213665782,0.008133781793312811,0.0007988277135547936,0.9497914079701757,0.0,NEXIT,MONITOR
77,1.6699999999999962,0.08627419449591435,0.009001992359256528,0.0008682105659437167,0.9394395152288819,0.0,NEXIT,MONITOR
78,1.684999999999996,0.0962155417106902,0.009941347214775853,0.0009393548555193254,0.9281952353748448,0.0,NEXIT,MONITOR
79,1.699999999999996,0.10716807048652519,0.010952528775834983,0.0010111815610591296,0.9159903330378016,0.0,NEXIT,MONITOR
80,1.7149999999999959,0.1192029220221142,0.012034851535589017,0.0010823227597540341,0.9027572240789921,0.0,NEXIT,MONITOR
81,1.7299999999999958,0.13238887354206164,0.013185951519947434,0.0011510999843584169,0.888430570135042,0.0,NEXIT,MONITOR
82,1.7449999999999957,0.14679033980137818,0.014401466259316542,0.0012155147393691085,0.8729491771886914,0.0,NEXIT,MONITOR
83,1.7599999999999956,0.1624650625806914,0.015674722779313227,0.001273256519996685,0.8562581905483437,0.0,NEXIT,MONITOR
84,1.7749999999999955,0.17946151940732163,0.01699645682663023,0.0013217340473170025,0.838311556563045,0.0,NEXIT,MONITOR
85,1.8206309991947842,0.19781611144141256,0.018354592034090927,0.0013581352074606978,0.8190746941306587,0.04563099919478874,ENGAGE,PREEMPTIVE_STABILIZE
86,1.8454730796613243,0.26212518140385144,0.06430906996243888,0.04595447792834795,0.7525053577629671,0.024842080466540236,ENGAGE,PREEMPTIVE_STABILIZE
87,1.8497464137881034,0.3023324705591204,0.040207289155268944,-0.02410178080716993,0.7113273834094769,0.019273334126779302,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
88,1.8583530984397976,0.3095917298061244,0.007259259247004046,-0.0329480299082649,0.7039182870296095,0.02360668465169431,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
89,1.863040868943178,0.32449833600748285,0.014906606201358419,0.007647346954354373,0.6887242089801157,0.019687770503380615,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
90,1.8687636142709438,0.3327722658521065,0.008273929844623662,-0.006632676356734757,0.6803014431673177,0.020722745327765833,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
91,1.8729940752710152,0.3430140813049417,0.010241815452835201,0.0019678856082115392,0.6698849890477923,0.019230461000071603,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
92,1.8772433802254938,0.3506809419851565,0.007666860680214771,-0.0025749547726204303,0.6620938160815796,0.019249304954478647,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
93,1.8807162252482001,0.35846034494291207,0.007779402957755588,0.00011254227754081692,0.6541934666771745,0.018472845022706554,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
94,1.8839597583574152,0.36487425905991566,0.006413914117003594,-0.0013654888407519938,0.6476835068632962,0.018243533109215237,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
95,1.8867140392807182,0.3709083554527708,0.006034096392855126,-0.00037981772414846793,0.641561891316978,0.017754280923303067,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
96,1.8892064903656867,0.37606418104373984,0.005155825590969054,-0.0008782708018860719,0.6363333432947611,0.017492451084968493,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
97,1.891356665641013,0.3807542439257373,0.00469006288199747,-0.00046576270897158434,0.6315786894266673,0.017150175275326477,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
98,1.8932725937676214,0.38481823409819116,0.004063990172453846,-0.0006260727095436236,0.6274598777297969,0.016915928126608578,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
99,1.8949367004259343,0.38845308982663285,0.0036348557284416882,-0.00042913444401215806,0.6237768534125844,0.016664106658313,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
100,1.8964072637393405,0.39162031169966854,0.003167221873035697,-0.0004676338554059911,0.6205682998342028,0.016470563313406458,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
101,1.8976883249584398,0.39442679658142876,0.0028064848817602184,-0.00036073699127547876,0.6177256715989219,0.016281061219099238,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
102,1.8988149942626773,0.3968773223510702,0.002450525769641443,-0.0003559591121187755,0.6152439447714706,0.01612666930423761,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
103,1.899797688432555,0.39903680294179916,0.002159480590728957,-0.0002910451789124857,0.6130572378937695,0.015982694169877805,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
104,1.9006594377961985,0.4009235418487488,0.0018867389069496254,-0.0002727416837793317,0.6111469126317822,0.015861749363643665,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
