step,lambda,psi,risk,distance,grad,state,dlam,dpsi,lam_drift,psi_drift,lam_restore,psi_restore,lam_rot,psi_rot,lam_nonlin,psi_nonlin,lam_damp,psi_damp,lam_barrier,dist_push,potential
0,0.5810602449234847,0.4585320033001765,0.0005975677838687896,1.3884612319536,0.0005975677838687896,NEXIT,0.1247080691130535,-0.03302768723049762,0.01,0.004,0.0702,0.0476,0.037399999999999996,-0.0858,0.00711828,0.0011791199999999996,1.0210845746434182e-05,6.8072304976227875e-06,4.1200057497411185e-11,0.0,0.6248799805894387
1,0.6576106067341031,0.4449645973407694,0.0008748464170563602,1.3618279110319036,0.0002772786331875707,NEXIT,0.11776978740095134,-0.02087293224524175,0.01,0.004,0.06290457795688638,0.050605519537975284,0.039761479636980575,-0.07688337305841668,0.005121656991317416,0.0014168726308770238,1.7927033516063686e-05,1.1951355677375791e-05,1.507169493353822e-10,0.0,0.6013972668635731
2,0.7296690249821465,0.43820921594301104,0.0012667823268520707,1.337060627258378,0.0003919359097957105,NEXIT,0.11085910499698985,-0.01039289445808978,0.01,0.004,0.05601504539393072,0.052504956372292286,0.041253894292515365,-0.06846283325924866,0.0036164112160213487,0.0015824793572077225,2.6245392511690807e-05,1.7496928341127204e-05,5.129658925585667e-10,0.0,0.5808332580232323
3,0.7972618112902476,0.43727224727895514,0.0018559244580033142,1.3140438153521625,0.0005891421311512435,NEXIT,0.1039889020124633,-0.0014414902523936614,0.01,0.004,0.04952978775160682,0.05345070976797845,0.04199698624626878,-0.06053640725196389,0.002500133109199824,0.0016695428781288203,3.800346980556212e-05,2.5335646537041414e-05,1.6248065503511312e-09,0.0,0.5627138174220239
4,0.8604276666767356,0.44125377748529476,0.00272118483569133,1.292720354975783,0.0008652603776880159,NEXIT,0.09717823905613532,0.006125431086676329,0.01,0.004,0.04344643698387771,0.05358188538094628,0.04210005279931493,-0.053101200758072765,0.0016874317983256077,0.001681864952962887,5.567773374009942e-05,3.7118489160066286e-05,4.791642832396117e-09,0.0,0.5467985184590478
5,0.9192200850390971,0.44934433424491993,0.003942601298154557,1.2730663497367476,0.001221416462463227,NEXIT,0.09044987440363307,0.012447010399423374,0.01,0.004,0.03776150999909379,0.05302447115205873,0.041662084476617574,-0.04615295666555908,0.0011079286375338395,0.0016299196096375488,8.16355450707399e-05,5.44236967138266e-05,1.3164541402569355e-08,0.0,0.5330015665399197
6,0.9737085464312911,0.4608199759002307,0.005601273009076303,1.255072021949362,0.0016586717109217455,NEXIT,0.08382840214183693,0.017654833315862706,0.01,0.004,0.03247019234648126,0.05189179320571121,0.0407721232330588,-0.03968579064569932,0.0007043983250989467,0.0015276827818139081,0.00011827803894463671,7.885202596309114e-05,3.3723857448585574e-08,0.0,0.5213340612800772
7,1.0239788529621887,0.47503629203390474,0.007774506613467871,1.2387283136844478,0.002173233604391568,NEXIT,0.07733893312445766,0.021871255590267764,0.01,0.004,0.027566230821183802,0.0502852033739677,0.03950980265097462,-0.03369205989255798,0.00043101848465271285,0.0013901375690395803,0.00016803819027228907,0.00011202546018152605,8.064208116482846e-08,0.0,0.5118591646218419
8,1.0701328935386976,0.49142189687365134,0.010527116587858393,1.2240182991745479,0.0027526099743905227,NEXIT,0.07100621627155221,0.025208622830379418,0.01,0.004,0.023041903233403018,0.04829491911525333,0.03794600787627048,-0.028162326174159244,0.00025172061030400377,0.0012315200215546884,0.0002332351984040361,0.00015549013226935743,1.8025002124513077e-07,0.0,0.5046547457636515
9,1.1122880531144819,0.5094719056978173,0.013900637113182835,1.210912380032435,0.0033735205253244416,NEXIT,0.06485409165505278,0.02776924434487074,0.01,0.004,0.018888039581517222,0.04600093443768881,0.03614359134389835,-0.023085381710743272,0.00013865143963079517,0.0010642339496823687,0.0003158134976357518,0.00021054233175716788,3.772123578319105e-07,0.0,0.49978064020768753
10,1.1505764105356904,0.5287417482219086,0.017902815885691026,1.1993662905089282,0.004002178772508191,NEXIT,0.05890516526339764,0.029645911575525014,0.01,0.004,0.015094075219696634,0.043473933202305574,0.034158090373240094,-0.018448314157406998,7.075925642979406e-05,0.0008983052728900995,0.00041701911339548503,0.0002780127422636567,7.404725733932773e-07,0.0,0.49725008622027667
11,1.185143799561434,0.5488415286883046,0.02249993302909949,1.1893210803815655,0.0045971171434084634,NEXIT,0.05318059850114413,0.030922739179070843,0.01,0.004,0.011648123051787869,0.0407761552489328,0.032038407695590056,-0.014236594841074061,3.2518580572197294e-05,0.0007412350889259248,0.0005370844765707308,0.0003580563177138205,1.3663502352647033e-06,0.0,0.4970068950416417
12,1.2161487467091412,0.5694310123197008,0.02761404450175183,1.1807044067228645,0.0051141114726523385,NEXIT,0.04769991868878029,0.031676128663686576,0.01,0.004,0.00853705803947094,0.037962185983637355,0.02982743184428649,-0.010434182048242263,1.2802312758301425e-05,0.0005981233888734813,0.0006749979908729847,0.0004499986605819898,2.3755168624598054e-06,0.0,0.4989109789324068
13,1.2437612561211868,0.5902152156093866,0.033126217587973336,1.1734326204676564,0.005512173086221508,NEXIT,0.04248078371083948,0.03197569736874735,0.01,0.004,0.005746612796177295,0.03507965827524188,0.0275625886448329,-0.007023637861994472,3.904806678884907e-06,0.0004719578455349813,0.0008284213350525548,0.0005522808900350366,3.901201797041426e-06,0.0,0.5027346609393506
14,1.268161393119054,0.6109405110789791,0.0388854737654261,1.1674132653122695,0.005759256177452765,NEXIT,0.03753867230441106,0.031885069953219214,0.01,0.004,0.0032614869490931887,0.03216986981468587,0.025276326282967467,-0.003986261826669453,7.138560849297977e-07,0.0003639863169622624,0.0009937865276392,0.0006625243517594668,6.068256095324772e-06,0.0,0.5081707764565366
15,1.2895376265268408,0.6313911269929569,0.04472189360933333,1.162547711809432,0.005836419843907231,NEXIT,0.03288651293505666,0.03146248602150429,0.01,0.004,0.001065474619285136,0.029268328448942928,0.022996543781312297,-0.0013022467569040552,2.4888175308636585e-08,0.00027411380477394175,0.001166564212962783,0.000777709475308522,8.966140753296917e-06,0.0,0.5148514532996381
16,1.3080849200210547,0.6513859242224378,0.050461549350557786,1.15873373114758,0.005739655741224453,NEXIT,0.028534297683406127,0.030761226506893752,0.01,0.004,-0.0008583863874156683,0.026405242220986037,0.02074697603077474,0.0010491389179524836,-1.3014041766667176e-08,0.00020128324014189253,0.0013416568082799999,0.0008944378721866666,1.262213763118131e-05,0.0,0.5223743979720895
17,1.3240026038144215,0.6707753561956635,0.05594080073157852,1.1558678758467502,0.005479251381020733,NEXIT,0.024488744297487198,0.029829895343424128,0.01,0.004,-0.0025276428018949203,0.023605970608858703,0.01854754833553184,0.003089341202316014,-3.3228507390527476e-07,0.00014381451926056613,0.0015138464805167335,0.0010092309870111558,1.698247055908254e-05,0.0,0.5303322373496995
18,1.3374920972745064,0.6894385517487269,0.06101795794038978,1.1538475832122044,0.005077157208811259,NEXIT,0.020753066861669146,0.02871260854317448,0.01,0.004,-0.00396023434329793,0.0208914501326071,0.016414710818477007,0.00484028641958636,-1.2779868577367634e-06,9.968800561259363e-05,0.0016782240219473555,0.0011188160146315704,2.1907604704839386e-05,0.0,0.5383403307858168
19,1.3487545804781282,0.7072804940180393,0.06558113770703734,1.1525729553864514,0.004563179766647565,NEXIT,0.017326897236341492,0.027449141952788202,0.01,0.004,-0.005174288754705569,0.018278602755178227,0.014361759307640033,0.0063241307001956956,-2.8504650092125605e-06,6.676765622207214e-05,0.0018305387382116932,0.0012203591588077955,2.7184113372064072e-05,0.0,0.5460593848123398
20,1.3579887231493903,0.7242292942623109,0.06955201940437396,1.1519481993901577,0.0039708816973366146,NEXIT,0.014206373340403184,0.026075077298879343,0.01,0.004,-0.006187912243031539,0.015780730837474496,0.012399145658015675,0.007563003852594103,-4.875241889262609e-06,4.296536295149065e-05,0.00196743413121112,0.001311622754140747,3.25507014805677e-05,0.0,0.5532107403488223
21,1.3653885731467894,0.7402335749636046,0.07288591731799698,1.1518827328749546,0.003333897913623027,NEXIT,0.01138438461138328,0.024621970309682755,0.01,0.004,-0.0070189850834451286,0.013407898803276473,0.0105347776311458,0.008578759546432935,-7.115193070176002e-06,2.635234806082797e-05,0.0020865605821312186,0.001391040388087479,3.773216111599546e-05,0.0,0.5595838309217076
22,1.3711416876212017,0.7552599825013913,0.07556901384296134,1.1522919772785263,0.0026830965249643596,NEXIT,0.008850945345249644,0.0231175500581332,0.01,0.004,-0.007684971583211044,0.011167299505095344,0.008774306754003484,0.009392743046146831,-9.33878825767529e-06,1.5225853250965456e-05,0.0021865775195399092,0.0014577183463599396,4.24735177452105e-05,0.0,0.565036616385542
23,1.3754275637468165,0.7692908487649688,0.07761374824689661,1.1530978705033952,0.0020447344039352666,NEXIT,0.006593655577869115,0.02158594809781162,0.01,0.004,-0.00820275188590815,0.009063602449805218,0.007121401924846956,0.010025585638332184,-1.135644643495849e-05,8.140286533443433e-06,0.00226707041528884,0.0015113802768592268,4.656759934589346e-05,0.0,0.5694905838812239
24,1.3784163979502986,0.782322016299336,0.079053296046847,1.1542291370496447,0.001439547799950383,NEXIT,0.004598206466895458,0.020047950052872632,0.01,0.004,-0.008588480737213484,0.007099281172904364,0.005578006635853429,0.010497032012149814,-1.3035052015113338e-05,3.911832756384069e-06,0.002328412447406898,0.0015522749649379323,4.9871932322476326e-05,0.0,0.5729221817554111
25,1.3802681770245029,0.7943608354527906,0.07993589438246852,1.1556213556735238,0.0008825983356215289,NEXIT,0.002848890883391297,0.018521260236084042,0.01,0.004,-0.00885747581552687,0.00527491771809296,0.00414457820707304,0.01082580377453284,-1.4298604586917266e-05,1.6046643951786172e-06,0.0023715988814054095,0.00158106592093694,5.231402216254602e-05,0.0,0.5753524404938736
26,1.3811320840074828,0.8054243361163891,0.0803195467871339,1.1572168640324672,0.00038365240466538275,NEXIT,0.0013290876661227944,0.01702077025169007,0.01,0.004,-0.009024135932205257,0.0035894830366093138,0.002820308100193032,0.011029499472695315,-1.5121003585455422e-05,5.056300348090033e-07,0.0023980768314740557,0.0015987178876493704,5.388666680547e-05,0.0,0.5768362016811077
27,1.3811461873205129,0.8155375718117895,0.08026742922007953,1.158964537229179,-5.2117567054379976e-05,NEXIT,2.1697404661543083e-05,0.015558824146769934,0.01,0.004,-0.009101887560673446,0.0020405929437055216,0.0016033230271971955,0.011124529240823102,-1.551522683069132e-05,9.289798398833592e-08,0.0024095864036140172,0.001606390935742678,5.4636431417497595e-05,0.0,0.577451964590077
28,1.3804373732983934,0.8247321303232719,0.07984414579752026,1.1608194733798707,-0.0004232834225592619,NEXIT,-0.0010904831109530698,0.014145474633049776,0.01,0.004,-0.009103156858846155,0.0006247399463494575,0.0004908671007031451,0.011126080605256413,-1.552171873538679e-05,2.6658454964977935e-09,0.002408022876602386,0.0016053485844015906,5.464875747228735e-05,0.0,0.5772929674582172
29,1.3791214790562039,0.8330448026929675,0.07911285615671813,1.1627426148787368,-0.0007312896408021297,NEXIT,-0.002024452680291591,0.012788726722608825,0.01,0.004,-0.009039363596855407,-0.0006624982452580675,-0.0005205343355599102,0.011048111062823275,-1.5197680068599215e-05,-3.179005978092373e-09,0.002395324373925608,0.0015968829159504054,5.403269388206672e-05,0.0,0.576459797987549
30,1.3773035833909393,0.8405164009844186,0.07813321417397671,1.1647003293664877,-0.0009796419827414193,NEXIT,-0.002796762561945594,0.01149476660223242,0.01,0.004,-0.008920933115058344,-0.0018262723770154634,-0.0014349282962264353,0.010903362696182422,-1.4608128500386392e-05,-6.6593800177103e-08,0.0023733856847015437,0.0015822571231343626,5.290733745888496e-05,0.0,0.5750545915507851
31,1.3750784168212038,0.8471907145245547,0.07696001181254473,1.1666639698740013,-0.0011732023614319798,NEXIT,-0.0034233331842083896,0.010268174677132516,0.01,0.004,-0.008757322505184533,-0.002872296137818611,-0.0022568041082860514,0.010703394173003318,-1.381903643627789e-05,-2.590745726563013e-07,0.0023439964252193013,0.0015626642834795344,5.1391109082226524e-05,0.0,0.5731767212843264
32,1.3725308567689078,0.8531135941425814,0.07564240275303709,1.168609429433675,-0.0013176090595076462,NEXIT,-0.003919323157378527,0.009112122489271759,0.01,0.004,-0.00855705751390834,-0.0038067000334376716,-0.002990978597701027,0.010458625850332415,-1.2892498326565188e-05,-6.030913720888705e-07,0.002308800354376342,0.0015392002362508948,4.959419306625321e-05,0.0,0.5709197969799967
33,1.3697364793714817,0.8583321540656697,0.07422357944194106,1.170516701766565,-0.0014188233110960236,NEXIT,-0.004299042149886441,0.008028553727828054,0.01,0.004,-0.008327777109201703,-0.0046359031799613985,-0.0036424953556839557,0.01017839424457986,-1.188368165902777e-05,-1.089281729666515e-06,0.0022692720825911125,0.0015128480550607418,4.761392075064269e-05,0.0,0.5683697520491885
34,1.3667621448375034,0.8628940814796568,0.07274078720116922,1.172369456520818,-0.0014827922407718436,NEXIT,-0.004575899283043736,0.007018349867672644,0.01,0.004,-0.008076283143433349,-0.005366501569193758,-0.004216536947223667,0.009871012730862983,-1.083922770105234e-05,-1.6897051577603652e-06,0.0022267073832582317,0.0014844715888388212,4.553258142743648e-05,0.0,0.565603793749336
