step,lambda,risk,distance,gradient,steer,drift,rot,barrier,potential,state
0,0.5250128793779005,9.16600371985333e-06,1.1599912922964664,-0.34092032892352186,0.02727362631388175,0.01499989000795536,-0.01726063694393649,1.769174543857337e-80,1.0081844362773327,NEXIT
1,0.5517135290646586,1.1196513065751907e-05,1.1569878177872397,-0.33950522045922416,0.027160417636737932,0.014999865641843212,-0.015459633591822966,1.4242862598712564e-77,0.9996747455121924,NEXIT
2,0.5812741228114354,1.3862743635097882e-05,1.1537812069057878,-0.3380006692582094,0.02704005354065675,0.014999833647076377,-0.012479293440956309,1.5686673842190476e-74,0.9906298371311698,NEXIT
3,0.6150223478759455,1.756109562011998e-05,1.1502304222217887,-0.33634393516318584,0.026907514813054867,0.014999789266852557,-0.008159079015397317,3.097861691865534e-71,0.9806628495054293,NEXIT
4,0.6543931674727593,2.300395911955005e-05,1.146175464493723,-0.33446703688611024,0.02675736295088882,0.014999723952490565,-0.0023862673065655443,1.447628564599337e-67,0.9693435586852216,NEXIT
5,0.7006174576216926,3.152006657640394e-05,1.1414428758400212,-0.3323029583455206,0.026584236667641648,0.014999621759201083,0.0046404317220905475,2.0729997211177163e-63,0.9562180211664145,NEXIT
6,0.7539110253232292,4.562266329932164e-05,1.1358825635552625,-0.3298098984296782,0.026384791874374258,0.014999452528040408,0.011909323299121928,1.0571939278672397e-58,0.9409154046415769,NEXIT
7,0.8121874103122911,6.987646390842564e-05,1.1294642943204996,-0.3270271444646977,0.026162171557175817,0.014999161482433097,0.017115051949453054,1.6646443995310833e-53,0.9234133309768174,NEXIT
8,0.8704762532495516,0.00011137450705110632,1.1224317049808266,-0.32415279032466104,0.025932223225972884,0.014998663505915387,0.01735795620537219,4.188291822280238e-48,0.904440170233894,NEXIT
9,0.923067254352624,0.0001775306087288368,1.1153741955317615,-0.3215499824142376,0.025723998593139008,0.014997869632695253,0.0118691328772382,5.355840206078048e-43,0.8856231707678066,NEXIT
10,0.9671008462235803,0.00027036643074231364,1.10897508136848,-0.3195604667777241,0.025564837342217928,0.014996755602831093,0.003471998925907248,1.211074130902546e-38,0.8687666821599321,NEXIT
11,1.0031712537906354,0.00038449575864662024,1.1035826274824563,-0.3182814956098068,0.025462519648784543,0.01499538605089624,-0.0043874981326256805,3.5011529192730936e-35,0.8547249976523892,NEXIT
12,1.0333067775057876,0.0005130469747340607,1.0991320549191266,-0.3176002495428043,0.025408019963424344,0.014993843436303191,-0.01026633968457544,1.794158435854179e-32,0.8432578964217902,NEXIT
13,1.0594959560128072,0.0006528267225584832,1.0953830013128751,-0.3173645727964636,0.025389165823717086,0.014992166079329298,-0.01419215339602667,2.6979074712964914e-30,0.8336912634897878,NEXIT
14,1.083309146965211,0.0008048637578853444,1.092095864708472,-0.3174704390847549,0.025397635126780393,0.014990341634905376,-0.016574785809282032,1.8156143344049324e-28,0.8253790627093262,NEXIT
15,1.1059643930415446,0.000973608868445207,1.0890779739391518,-0.31787307092839834,0.025429845674271867,0.014988316693578658,-0.017762916291516842,7.403972918341199e-27,0.8178149224167878,NEXIT
16,1.1284737839076402,0.0011668442677644768,1.0861757707806385,-0.31858076701418714,0.02548646136113497,0.014985997868786825,-0.01796306836382603,2.2692162816983115e-25,0.8106060669244437,NEXIT
17,1.1517768139966988,0.0013967496018150339,1.083256233809359,-0.3196560015829575,0.0255724801266366,0.014983239004778218,-0.01725268904235606,6.145621148716473e-24,0.8034236649186421,NEXIT
18,1.1768540967823893,0.0016825085519335064,1.0801883991960592,-0.32123198845895873,0.025698559076716698,0.014979809897376796,-0.01560108618840305,1.6803732434995188e-22,0.7959573455145171,NEXIT
19,1.204828601862454,0.0020555232009648295,1.0768247613451967,-0.32355416009688387,0.02588433280775071,0.014975333721588421,-0.012885161449274108,5.235445232476896e-21,0.7878740860718905,NEXIT
20,1.2370492619635187,0.0025697561989664135,1.0729792993874876,-0.3270675403302947,0.026165403226423578,0.014969162925612402,-0.008913906050971298,2.092185280093871e-19,0.7787761711296163,NEXIT
21,1.2751137788953133,0.0033228438511171583,1.0683973869058168,-0.3325961465651672,0.026607691725213378,0.014960125873786593,-0.0035033006672053443,1.2053759305302824e-17,0.7681535001150022,NEXIT
22,1.3207034174978303,0.004500349245350414,1.0627110147494796,-0.34170905781538696,0.027336724625230957,0.014945995809055793,0.003306918168230199,1.1085638094397249e-15,0.7553299244360256,NEXIT
