time,voltage
0,0.98
1,0.98
2,0.98
3,0.98
4,0.98
5,0.98
6,0.98
7,0.98
8,0.98
9,0.98
10,0.98
11,0.98
12,0.98
13,0.98
14,0.98
15,0.98
16,0.98
17,0.98
18,0.98
19,0.98
20,0.98
21,0.98
22,0.98
23,0.98
24,0.98
25,0.98
26,0.98
27,0.98
28,0.98
29,0.98
30,0.98
31,0.979175
32,0.9767
33,0.972575
34,0.9668
35,0.959375
36,0.9503
37,0.9395749999999999
38,0.9272
39,0.913175
40,0.8975
41,0.8801749999999999
42,0.8612
43,0.840575
44,0.8183
45,0.7943749999999999
46,0.7687999999999999
47,0.741575
48,0.7126999999999999
49,0.682175
