config,K,samples,r_mean,r_std,r_min,r_max,abs_delta_theta_mean,abs_delta_theta_std,theta_threshold,iota_threshold,iota_percent,n_events,transition_rate,lyapunov_estimate,pca_explained_variance_ratio
"{'n_oscillators': 128, 'coupling_k': 0.5, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",0.5,45001,0.10640286347181467,0.05544918783909956,0.0032777172406608015,0.31407288666954347,0.013130981363355108,0.02418836607961246,0.02522516440316134,0.07360189656238625,1.0421990622430612,49,0.0010888646918957357,0.0013338911251535507,"[0.9955855727948828, 0.0022199510710491682, 0.002194476134068012]"
"{'n_oscillators': 128, 'coupling_k': 0.7272727272727273, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",0.7272727272727273,45001,0.12286881341928946,0.06339018312451401,0.0029141098016393914,0.3361555703435741,0.011739174188912196,0.01858618211029426,0.021032265244059326,0.05820462946464784,1.426634963667474,54,0.0011999733339259128,0.013186488313100014,"[0.9949507253531602, 0.0026960883634463114, 0.0023531862833935597]"
"{'n_oscillators': 128, 'coupling_k': 0.9545454545454546, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",0.9545454545454546,45001,0.15311258074068057,0.07511133625666479,0.001048136378195854,0.4225033069131597,0.011172961171112402,0.020012925024233238,0.02117942368322902,0.0612052737316955,0.8910913090820203,34,0.0007555387658052043,0.02686273908783539,"[0.991584045392236, 0.004856772504564461, 0.0035591821031996434]"
"{'n_oscillators': 128, 'coupling_k': 1.1818181818181817, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",1.1818181818181817,45001,0.20637457061537845,0.09687433150537694,0.0009761640249489722,0.48356393688596677,0.00909589167104473,0.015542267413684226,0.016867025377886844,0.047951560205255296,0.8888691362414168,30,0.0006666518521810627,0.04531123124356119,"[0.9863294873868537, 0.008946581304747828, 0.004723931308398554]"
"{'n_oscillators': 128, 'coupling_k': 1.4090909090909092, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",1.4090909090909092,45001,0.32678966357749095,0.11594661829070328,0.0015188075388688606,0.5867767107587618,0.008734656362663306,0.025771473666409722,0.021620393195868167,0.07316334052868761,0.49998888913579703,23,0.0005110997533388147,0.07399651392469983,"[0.955345659041744, 0.03504028273228385, 0.009614058225972255]"
"{'n_oscillators': 128, 'coupling_k': 1.6363636363636362, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",1.6363636363636362,45001,0.7329220721492656,0.02725274198345197,0.6436540809476293,0.8115628312368852,0.018579468651482946,0.03572870136943197,0.03644381933619893,0.10790122207506286,1.0377547165618541,65,0.0014444123463923024,0.005655534365111946,"[0.6659892168097817, 0.2231703531105834, 0.11084043007963484]"
"{'n_oscillators': 128, 'coupling_k': 1.8636363636363635, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",1.8636363636363635,45001,0.8343142591453104,0.013697335766903438,0.7937824401560152,0.8733366059214867,0.0224026927725084,0.04207994803709151,0.04344266679105416,0.12760256286523716,1.3533032599275572,91,0.0020221772849492235,-0.003309690231839687,"[0.6261870263785374, 0.251092929686462, 0.1227200439350006]"
"{'n_oscillators': 128, 'coupling_k': 2.090909090909091, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",2.090909090909091,45001,0.8908392102753727,0.006408864485495467,0.8717738797713402,0.9060579321315106,0.013878372125336012,0.044491797999868424,0.036124271125270224,0.12510786712500707,1.13553032154841,80,0.0017777382724828337,-0.004134451496679762,"[0.6479739026012579, 0.2623709686542111, 0.08965512874453095]"
"{'n_oscillators': 128, 'coupling_k': 2.3181818181818183, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",2.3181818181818183,45001,0.9194797781020644,0.003723960859705271,0.9103677040613887,0.927378355903742,0.007028062421960548,0.02048499859075063,0.01727056171733586,0.05824055889883713,0.9755338770249551,33,0.0007333170373991689,-0.003921585567809741,"[0.7683900592385473, 0.1844780297367113, 0.04713191102474133]"
"{'n_oscillators': 128, 'coupling_k': 2.5454545454545454, 'omega_mean': 0.0, 'omega_std': 1.0, 't_max': 500.0, 'dt': 0.01, 'transient_fraction': 0.1, 'random_seed': 42, 'iota_sigma': 2.5, 'theta_sigma': 0.5, 'peak_distance': 50, 'lyapunov_eps': 1e-07, 'lyapunov_segment_time': 1.0}",2.5454545454545454,45001,0.9390896358572273,3.930196867272992e-11,0.9390896353840391,0.9390896362524416,0.05888506749490025,0.40549114164756034,0.26163063831868044,1.072612921613801,1.897735605875425,506,0.011244194573453924,-0.004273894833824933,"[0.9999994375877997, 5.048414801331722e-07, 5.757072022668873e-08]"
