atlas,file,path,symmetry_n,drift_deg
symmetry_resonance_atlas,sym_n18_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_4.59.png,18,4.59
symmetry_resonance_atlas,sym_n14_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_3.18.png,14,3.18
symmetry_resonance_atlas,sym_n05_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_0.00.png,5,0.0
symmetry_resonance_atlas,sym_n10_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_0.00.png,10,0.0
symmetry_resonance_atlas,sym_n15_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n15_drift_0.71.png,15,0.71
symmetry_resonance_atlas,sym_n14_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_6.00.png,14,6.0
symmetry_resonance_atlas,sym_n18_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_1.41.png,18,1.41
symmetry_resonance_atlas,sym_n17_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_2.12.png,17,2.12
symmetry_resonance_atlas,sym_n20_drift_2.82.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_2.82.png,20,2.82
symmetry_resonance_atlas,sym_n09_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_6.00.png,9,6.0
symmetry_resonance_atlas,sym_n05_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_1.41.png,5,1.41
symmetry_resonance_atlas,sym_n10_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_1.41.png,10,1.41
symmetry_resonance_atlas,sym_n08_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n08_drift_0.71.png,8,0.71
symmetry_resonance_atlas,sym_n17_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_3.53.png,17,3.53
symmetry_resonance_atlas,sym_n18_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_0.00.png,18,0.0
symmetry_resonance_atlas,sym_n05_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_4.59.png,5,4.59
symmetry_resonance_atlas,sym_n10_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_4.59.png,10,4.59
symmetry_resonance_atlas,sym_n09_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_3.18.png,9,3.18
symmetry_resonance_atlas,sym_n18_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_3.53.png,18,3.53
symmetry_resonance_atlas,sym_n17_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_0.00.png,17,0.0
symmetry_resonance_atlas,sym_n13_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_3.18.png,13,3.18
symmetry_resonance_atlas,sym_n06_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_3.18.png,6,3.18
symmetry_resonance_atlas,sym_n20_drift_1.06.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_1.06.png,20,1.06
symmetry_resonance_atlas,sym_n05_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_2.12.png,5,2.12
symmetry_resonance_atlas,sym_n10_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_2.12.png,10,2.12
symmetry_resonance_atlas,sym_n13_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_6.00.png,13,6.0
symmetry_resonance_atlas,sym_n06_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_6.00.png,6,6.0
symmetry_resonance_atlas,sym_n12_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n12_drift_0.71.png,12,0.71
symmetry_resonance_atlas,sym_n07_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n07_drift_0.71.png,7,0.71
symmetry_resonance_atlas,sym_n17_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_1.41.png,17,1.41
symmetry_resonance_atlas,sym_n18_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_2.12.png,18,2.12
symmetry_resonance_atlas,sym_n17_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_4.59.png,17,4.59
symmetry_resonance_atlas,sym_n05_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_3.53.png,5,3.53
