Layer Resonance Report
======================

Inner/Middle
5:1 : 18
4:1 : 16
7:2 : 21
3:1 : 79
8:3 : 68
5:2 : 64
7:3 : 63
2:1 : 66
7:4 : 54
5:3 : 36
8:5 : 39
3:2 : 52
7:5 : 44
4:3 : 45
5:4 : 41
6:5 : 28
7:6 : 21
8:7 : 67
1:1 : 211
7:8 : 18
6:7 : 6
5:6 : 7
4:5 : 12
3:4 : 14
5:7 : 14
2:3 : 15
5:8 : 13
3:5 : 10
4:7 : 23
1:2 : 42
3:7 : 44
2:5 : 48
3:8 : 27

Middle/Outer
1:5 : 1448
1:4 : 385
2:7 : 636
1:3 : 133
3:8 : 83
2:5 : 62
3:7 : 102
1:2 : 131
4:7 : 85
3:5 : 45
5:8 : 54
2:3 : 73
5:7 : 70
3:4 : 72
4:5 : 82
5:6 : 69
6:7 : 95
7:8 : 52
1:1 : 109
8:7 : 84
7:6 : 16
6:5 : 26
5:4 : 59
4:3 : 55

Inner/Outer
