NEXAH v69 — Shortest Paths
===========================

B0 -> B1 | cost=0.0167 | path=[0, 3, 1]
B0 -> B2 | cost=0.0171 | path=[0, 2]
B0 -> B3 | cost=0.0150 | path=[0, 3]
B0 -> B4 | cost=0.0104 | path=[0, 4]
B1 -> B0 | cost=0.0167 | path=[1, 3, 0]
B1 -> B2 | cost=0.0338 | path=[1, 3, 0, 2]
B1 -> B3 | cost=0.0017 | path=[1, 3]
B1 -> B4 | cost=0.0191 | path=[1, 4]
B2 -> B0 | cost=0.0171 | path=[2, 0]
B2 -> B1 | cost=0.0338 | path=[2, 0, 3, 1]
B2 -> B3 | cost=0.0321 | path=[2, 0, 3]
B2 -> B4 | cost=0.0190 | path=[2, 4]
B3 -> B0 | cost=0.0150 | path=[3, 0]
B3 -> B1 | cost=0.0017 | path=[3, 1]
B3 -> B2 | cost=0.0321 | path=[3, 0, 2]
B3 -> B4 | cost=0.0208 | path=[3, 1, 4]
B4 -> B0 | cost=0.0104 | path=[4, 0]
B4 -> B1 | cost=0.0191 | path=[4, 1]
B4 -> B2 | cost=0.0190 | path=[4, 2]
B4 -> B3 | cost=0.0208 | path=[4, 1, 3]
